
"QS119EW - Households by deprivation dimensions"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 ward","All categories: Classification of household deprivation","Household is not deprived in any dimension","Household is deprived in 1 dimension","Household is deprived in 2 dimensions","Household is deprived in 3 dimensions","Household is deprived in 4 dimensions"
"W05000100 : Porthmadog-Tremadog",588,235,201,120,27,5
"W05000101 : Pwllheli North",1048,380,352,227,83,6
"W05000102 : Pwllheli South",871,290,288,240,49,4
"W05000103 : Seiont",1355,566,398,313,73,5
"W05000104 : Talysarn",861,287,303,187,77,7
"W05000105 : Teigl",830,311,277,182,54,6
"W05000106 : Trawsfynydd",714,261,232,179,39,3
"W05000107 : Tregarth & Mynydd Llandygai",908,471,277,126,32,2
"W05000108 : Tudweiliog",401,159,125,95,20,2
"W05000109 : Tywyn",1601,501,636,388,69,7
"W05000110 : Waunfawr",715,337,224,129,23,2
"W05000111 : Y Felinheli",1006,530,321,125,28,2
"W05000112 : Abergele Pensarn",1204,283,390,382,126,23
"W05000113 : Betws-y-Coed",548,263,176,89,18,2
"W05000114 : Betws yn Rhos",882,401,260,186,33,2
"W05000115 : Bryn",744,318,244,134,43,5
"W05000116 : Caerhun",887,418,301,139,28,1
"W05000117 : Capelulo",690,301,225,133,31,0
"W05000118 : Colwyn",1998,810,672,386,119,11
"W05000119 : Conwy",1868,834,610,342,81,1
"W05000913 : Craig-y-Don",1581,639,564,295,70,13
"W05000121 : Crwst",988,342,318,246,76,6
"W05000914 : Deganwy",1861,832,699,277,49,4
"W05000123 : Eglwysbach",630,307,212,93,17,1
"W05000124 : Eirias",1577,661,517,316,77,6
"W05000125 : Gele",2168,839,734,510,80,5
"W05000126 : Glyn",1939,657,610,450,196,26
"W05000127 : Gogarth",1776,583,632,413,113,35
"W05000128 : Gower",484,200,165,93,21,5
"W05000129 : Kinmel Bay",2544,752,834,760,188,10
"W05000130 : Llanddulas",713,285,248,158,18,4
"W05000131 : Llandrillo yn Rhos",3612,1422,1267,790,127,6
"W05000132 : Llangernyw",564,236,217,90,20,1
"W05000133 : Llansanffraid",1001,464,352,161,23,1
"W05000134 : Llansannan",762,338,240,156,27,1
"W05000135 : Llysfaen",1052,398,362,218,71,3
"W05000915 : Marl",1678,765,535,321,52,5
"W05000137 : Mochdre",815,301,262,188,62,2
"W05000138 : Mostyn",1673,555,529,446,135,8
"W05000139 : Pandy",783,379,241,131,28,4
"W05000140 : Pant-yr-afon/Penmaenan",1285,494,440,253,86,12
"W05000916 : Penrhyn",2196,1039,755,350,49,3
"W05000917 : Pensarn",1207,444,441,244,70,8
"W05000143 : Pentre Mawr",1614,545,535,429,97,8
"W05000144 : Rhiw",2744,1223,923,453,135,10
"W05000145 : Towyn",1062,260,350,349,101,2
"W05000146 : Trefriw",563,231,184,122,25,1
"W05000918 : Tudno",2241,656,826,576,170,13
"W05000148 : Uwch Conwy",644,289,228,104,21,2
"W05000149 : Uwchaled",599,266,210,109,13,1
"W05000150 : Bodelwyddan",881,392,292,155,39,3
"W05000151 : Corwen",1023,411,377,198,36,1
"W05000152 : Denbigh Central",951,446,284,157,59,5
"W05000153 : Denbigh Lower",1882,980,576,274,50,2
"W05000154 : Denbigh Upper/Henllan",1354,440,459,320,122,13
"W05000155 : Dyserth",977,406,330,199,37,5
"W05000156 : Efenechtyd",654,335,224,78,16,1
"W05000157 : Llanarmon-yn-Ial/Llandegla",986,526,311,131,18,0
"W05000158 : Llanbedr Dyffryn Clwyd/Llangynhafal",622,341,189,84,8,0
"W05000159 : Llandrillo",489,213,174,86,15,1
"W05000160 : Llandyrnog",852,433,280,125,14,0
"W05000161 : Llanfair Dyffryn Clwyd/Gwyddelwern",946,461,335,125,22,3
"W05000162 : Llangollen",1846,784,642,340,76,4
"W05000163 : Llanrhaeadr-yng-Nghinmeirch",749,360,243,124,21,1
"W05000164 : Prestatyn Central",1507,554,497,369,83,4
"W05000165 : Prestatyn East",1629,678,527,337,81,6
"W05000166 : Prestatyn Meliden",862,296,303,207,51,5
"W05000167 : Prestatyn North",2622,823,888,772,132,7
"W05000168 : Prestatyn South West",1679,568,570,455,80,6
"W05000169 : Rhuddlan",1709,677,570,381,73,8
"W05000170 : Rhyl East",1975,561,657,592,152,13
"W05000171 : Rhyl South",1660,551,554,461,92,2
"W05000172 : Rhyl South East",3192,1230,1023,735,190,14
"W05000173 : Rhyl South West",2058,535,657,616,228,22
"W05000174 : Rhyl West",2109,357,651,651,379,71
"W05000175 : Ruthin",2406,1131,781,409,76,9
"W05000176 : St. Asaph East",737,367,209,127,32,2
"W05000177 : St. Asaph West",711,297,218,152,40,4
"W05000178 : Trefnant",815,392,280,119,23,1
"W05000179 : Tremeirchion",663,338,209,93,22,1
"W05000180 : Argoed",1157,573,376,184,24,0
"W05000181 : Aston",1320,552,437,290,38,3
"W05000182 : Bagillt East",784,285,271,181,45,2
"W05000183 : Bagillt West",920,280,318,253,63,6
"W05000184 : Broughton North East",955,439,308,181,27,0
"W05000185 : Broughton South",1560,817,456,239,48,0
"W05000186 : Brynford",918,443,290,162,22,1
"W05000187 : Buckley Bistre East",1514,642,493,320,55,4
"W05000188 : Buckley Bistre West",1935,746,661,393,129,6
"W05000189 : Buckley Mountain",1251,624,391,195,38,3
"W05000190 : Buckley Pentrobin",1974,985,584,339,64,2
"W05000191 : Caergwrle",735,275,255,174,29,2
"W05000192 : Caerwys",1090,560,321,176,30,3
"W05000193 : Cilcain",767,405,236,113,13,0
"W05000194 : Connah's Quay Central",1482,456,489,401,121,15
"W05000195 : Connah's Quay Golftyn",2153,981,690,354,122,6
"W05000196 : Connah's Quay South",2157,1069,682,348,57,1
"W05000197 : Connah's Quay Wepre",931,376,338,178,36,3
"W05000198 : Ewloe",2158,1263,649,224,22,0
"W05000199 : Ffynnongroyw",828,259,274,243,50,2
"W05000200 : Flint Castle",1027,222,331,341,127,6
"W05000201 : Flint Coleshill",1699,609,577,409,99,5
"W05000202 : Flint Oakenholt",1202,378,413,300,106,5
"W05000203 : Flint Trelawny",1334,629,449,219,35,2
"W05000204 : Greenfield",1138,393,363,283,97,2
"W05000205 : Gronant",675,213,229,191,40,2
"W05000206 : Gwernaffield",842,415,290,128,8,1
"W05000207 : Gwernymynydd",743,388,218,120,13,4
"W05000208 : Halkyn",731,355,236,127,13,0
"W05000209 : Hawarden",830,404,277,135,13,1
"W05000210 : Higher Kinnerton",660,397,184,64,13,2
"W05000211 : Holywell Central",896,227,282,277,97,13
"W05000212 : Holywell East",753,291,251,162,45,4
"W05000213 : Holywell West",972,391,314,205,58,4
"W05000214 : Hope",1034,502,343,160,28,1
"W05000215 : Leeswood",906,382,297,184,40,3
"W05000216 : Llanfynydd",767,393,249,112,13,0
"W05000217 : Mancot",1523,590,511,335,82,5
"W05000218 : Mold Broncoed",1212,469,399,274,64,6
"W05000219 : Mold East",898,387,292,174,43,2
"W05000220 : Mold South",1024,616,318,77,13,0
"W05000221 : Mold West",1179,418,390,281,85,5
"W05000222 : Mostyn",762,250,248,217,45,2
"W05000223 : New Brighton",1248,640,397,187,24,0
"W05000224 : Northop",1273,700,388,165,18,2
"W05000225 : Northop Hall",644,343,200,90,11,0
"W05000226 : Penyffordd",1564,857,452,234,21,0
"W05000227 : Queensferry",930,275,335,249,62,9
"W05000228 : Saltney Mold Junction",605,211,191,157,44,2
"W05000229 : Saltney Stonebridge",1548,628,524,309,78,9
"W05000230 : Sealand",1259,452,407,304,93,3
"W05000231 : Shotton East",871,304,293,205,58,11
"W05000232 : Shotton Higher",1066,249,353,328,127,9
"W05000233 : Shotton West",954,345,342,216,47,4
"W05000234 : Trelawnyd and Gwaenysgor",788,350,256,155,27,0
"W05000235 : Treuddyn",678,285,233,123,34,3
"W05000236 : Whitford",957,482,308,151,14,2
"W05000237 : Acton",1411,441,454,429,83,4
"W05000238 : Borras Park",1049,495,353,186,15,0
"W05000239 : Bronington",1316,633,457,197,27,2
"W05000903 : Brymbo",1669,786,491,298,86,8
"W05000241 : Brynyffynnon",1556,683,439,320,104,10
"W05000904 : Bryn Cefn",882,373,286,174,46,3
"W05000905 : Cartrefle",960,266,322,264,100,8
"W05000244 : Cefn",2134,682,689,586,166,11
"W05000245 : Dyffryn Ceiriog/Ceiriog Valley",907,404,300,178,25,0
"W05000246 : Chirk North",1039,404,336,239,57,3
"W05000247 : Chirk South",893,360,299,185,47,2
"W05000906 : Coedpoeth",1999,799,643,424,124,9
"W05000249 : Erddig",822,398,241,148,32,3
"W05000250 : Esclusham",1162,482,358,250,68,4
"W05000251 : Garden Village",918,465,312,123,18,0
"W05000907 : Gresford East and West",1224,593,382,205,39,5
"W05000253 : Grosvenor",1125,461,379,204,73,8
"W05000254 : Gwenfro",753,234,247,205,66,1
"W05000908 : Gwersyllt East and South",1981,904,597,368,107,5
"W05000256 : Gwersyllt North",1134,447,339,257,82,9
"W05000257 : Gwersyllt West",1197,485,364,247,93,8
"W05000258 : Hermitage",1079,338,328,289,114,10
"W05000909 : Holt",1451,704,447,263,37,0
"W05000260 : Johnstown",1411,597,436,302,75,1
"W05000261 : Little Acton",978,458,336,149,30,5
"W05000262 : Llangollen Rural",869,404,257,182,25,1
"W05000263 : Llay",1976,753,660,429,125,9
"W05000264 : Maesydre",828,329,274,176,46,3
"W05000265 : Marchwiel",981,482,308,164,26,1
"W05000266 : Marford and Hoseley",912,567,247,93,4,1
"W05000910 : Minera",1036,488,340,168,37,3
"W05000268 : New Broughton",1536,628,471,336,95,6
"W05000269 : Offa",1137,456,390,227,60,4
"W05000270 : Overton",1381,681,405,254,41,0
"W05000271 : Pant",919,309,298,226,83,3
"W05000272 : Penycae",880,277,264,247,83,9
"W05000273 : Penycae and Ruabon South",1102,522,332,192,54,2
"W05000274 : Plas Madoc",815,181,277,241,107,9
"W05000275 : Ponciau",2223,827,704,526,157,9
"W05000276 : Queensway",1068,204,371,361,125,7
"W05000911 : Rhosnesni",1529,839,426,228,35,1
"W05000278 : Rossett",1364,747,410,180,24,3
"W05000279 : Ruabon",1249,504,371,281,85,8
"W05000280 : Smithfield",1260,354,414,362,115,15
"W05000281 : Stansty",944,374,312,208,47,3
"W05000912 : Whitegate",1060,359,365,243,86,7
"W05000283 : Wynnstay",910,162,290,266,176,16
"W05000284 : Aber-craf",643,225,232,149,34,3
"W05000285 : Banwy",428,172,152,86,18,0
"W05000286 : Beguildy",604,227,238,109,29,1
"W05000287 : Berriew",593,262,198,117,16,0
"W05000288 : Blaen Hafren",951,446,318,158,28,1
"W05000289 : Bronllys",554,248,178,109,17,2
"W05000290 : Builth",1118,504,367,207,37,3
"W05000291 : Bwlch",440,217,146,64,12,1
"W05000292 : Caersws",1032,425,356,214,36,1
"W05000293 : Churchstoke",695,277,257,136,24,1
"W05000294 : Crickhowell",1232,584,432,185,29,2
"W05000295 : Cwm-twrch",866,278,296,229,62,1
"W05000296 : Disserth and Trecoed",608,191,212,176,28,1
"W05000297 : Dolforwyn",816,379,295,135,7,0
"W05000298 : Felin-f`ch",546,278,196,67,5,0
"W05000299 : Forden",598,301,193,92,12,0
"W05000300 : Glantwymyn",890,382,300,185,21,2
"W05000301 : Glasbury",1009,506,343,138,19,3
"W05000302 : Guilsfield",1005,441,355,186,21,2
"W05000303 : Gwernyfed",623,306,204,92,19,2
"W05000304 : Hay",828,342,290,161,32,3
"W05000305 : Kerry",838,354,307,156,20,1
"W05000306 : Knighton",1392,550,485,292,63,2
"W05000307 : Llanafanfawr",597,288,209,88,11,1
"W05000308 : Llanbadarn Fawr",483,214,174,81,13,1
"W05000309 : Llanbrynmair",397,161,130,91,15,0
"W05000310 : Llandinam",587,256,202,113,15,1
"W05000311 : Llandrindod East/Llandrindod West",671,196,227,183,54,11
"W05000312 : Llandrindod North",901,352,317,191,39,2
"W05000313 : Llandrindod South",1011,380,350,210,66,5
"W05000314 : Llandrinio",867,435,294,119,19,0
"W05000315 : Llandysilio",769,336,262,148,20,3
"W05000316 : Llanelwedd",519,233,182,95,8,1
"W05000317 : Llanfair Caereinion",728,338,235,124,29,2
"W05000318 : Llanfihangel",440,176,165,77,22,0
"W05000319 : Llanfyllin",675,266,242,126,36,5
"W05000320 : Llangattock",432,198,152,69,13,0
"W05000321 : Llangors",440,225,145,62,7,1
"W05000322 : Llangunllo",534,240,195,87,12,0
"W05000893 : Llangynidr",426,213,146,59,8,0
"W05000324 : Llanidloes",1416,559,470,319,62,6
"W05000325 : Llanwddyn",444,215,140,75,13,1
"W05000326 : Llanrhaeadr-ym-Mochnant/Llansilin",971,455,321,167,25,3
"W05000327 : Llansantffraid",828,360,255,186,27,0
"W05000328 : Llanwrtyd Wells",838,329,321,156,32,0
"W05000329 : Llanyre",511,206,193,98,14,0
"W05000330 : Machynlleth",1033,391,340,242,59,1
"W05000331 : Maescar/Llywel",750,352,225,152,21,0
"W05000332 : Meifod",535,261,180,87,7,0
"W05000333 : Montgomery",603,283,209,86,23,2
"W05000334 : Nantmel",621,282,217,103,17,2
"W05000335 : Newtown Central",1333,445,468,310,103,7
"W05000336 : Newtown East",970,320,369,225,52,4
"W05000337 : Newtown Llanllwchaiarn North",1093,490,355,211,36,1
"W05000338 : Newtown Llanllwchaiarn West",817,374,280,135,26,2
"W05000339 : Newtown South",802,213,291,210,84,4
"W05000340 : Old Radnor",678,302,265,98,13,0
"W05000341 : Presteigne",1241,486,466,247,39,3
"W05000342 : Rhayader",987,368,364,185,64,6
"W05000343 : Rhiwcynon",892,434,278,156,24,0
"W05000344 : St. David Within",742,293,234,183,26,6
"W05000345 : St. John",1475,595,500,309,66,5
"W05000346 : St. Mary",1418,631,488,250,43,6
"W05000347 : Talgarth",737,326,255,126,27,3
"W05000894 : Talybont-on-Usk",837,399,292,127,16,3
"W05000349 : Tawe-Uchaf",895,351,283,215,43,3
"W05000350 : Trewern",556,264,173,96,23,0
"W05000351 : Welshpool Castle",734,181,253,234,61,5
"W05000352 : Welshpool Gungrog",1210,455,427,265,62,1
"W05000353 : Welshpool Llanerchyddol",1011,361,348,244,55,3
"W05000354 : Ynyscedwyn",957,301,330,269,56,1
"W05000355 : Yscir",432,223,147,54,8,0
"W05000356 : Ystradgynlais",1192,346,384,347,111,4
"W05000357 : Aberaeron",732,306,235,160,28,3
"W05000358 : Aberporth",1092,415,396,236,40,5
"W05000359 : Aberteifi/Cardigan-Mwldan",802,306,271,180,44,1
"W05000360 : Aberteifi/Cardigan-Rhyd-y-Fuwch",643,179,206,200,52,6
"W05000361 : Aberteifi/Cardigan-Teifi",560,171,172,135,72,10
"W05000362 : Aberystwyth Bronglais",604,307,198,77,22,0
"W05000363 : Aberystwyth Canol/Central",1022,409,408,146,52,7
"W05000364 : Aberystwyth Gogledd/North",864,368,335,118,35,8
"W05000365 : Aberystwyth Penparcau",1282,462,408,303,97,12
"W05000366 : Aberystwyth Rheidol",1216,461,477,213,59,6
"W05000367 : Beulah",720,284,256,146,30,4
"W05000368 : Borth",949,403,325,173,47,1
"W05000369 : Capel Dewi",553,201,211,120,19,2
"W05000370 : Ceulanamaesmawr",834,401,268,135,29,1
"W05000371 : Ciliau Aeron",831,350,298,150,32,1
"W05000372 : Faenor",742,359,250,115,16,2
"W05000373 : Lampeter",1102,393,414,229,60,6
"W05000374 : Llanarth",664,262,216,154,29,3
"W05000375 : Llanbadarn Fawr-Padarn",424,228,115,63,17,1
"W05000376 : Llanbadarn Fawr-Sulien",507,275,152,69,11,0
"W05000377 : Llandyfriog",800,301,270,183,44,2
"W05000378 : Llandysilio-gogo",838,326,307,170,32,3
"W05000379 : Llandysul Town",660,238,223,153,42,4
"W05000380 : Llanfarian",655,334,219,81,19,2
"W05000381 : Llanfihangel Ystrad",885,317,313,195,55,5
"W05000382 : Llangeitho",663,256,242,124,37,4
"W05000383 : Llangybi",664,256,260,121,27,0
"W05000384 : Llanrhystyd",654,284,223,113,27,7
"W05000385 : Llansantffraed",1040,406,393,200,37,4
"W05000386 : Llanwenog",781,294,278,167,41,1
"W05000387 : Lledrod",937,374,320,176,61,6
"W05000388 : Melindwr",880,389,277,171,43,0
"W05000389 : New Quay",517,199,192,98,24,4
"W05000390 : Penbryn",902,382,309,175,32,4
"W05000391 : Pen-parc",1068,415,383,218,47,5
"W05000392 : Tirymynach",764,367,237,126,29,5
"W05000393 : Trefeurig",744,394,233,105,8,4
"W05000394 : Tregaron",565,201,206,121,33,4
"W05000395 : Troedyraur",575,206,223,121,25,0
"W05000396 : Ystwyth",827,417,262,121,26,1
"W05000946 : Amroth",546,214,203,104,24,1
"W05000947 : Burton",752,376,232,123,19,2
"W05000948 : Camrose",1088,487,402,170,28,1
"W05000400 : Carew",612,301,187,99,25,0
"W05000949 : Cilgerran",887,372,320,160,33,2
"W05000402 : Clydau",611,225,209,150,26,1
"W05000950 : Crymych",1023,422,368,192,38,3
"W05000951 : Dinas Cross",736,325,257,128,24,2
"W05000952 : East Williamston",1007,410,318,241,34,4
"W05000406 : Fishguard North East",891,333,327,194,35,2
"W05000407 : Fishguard North West",736,230,266,190,46,4
"W05000408 : Goodwick",901,328,327,187,57,2
"W05000409 : Haverfordwest: Castle",1193,403,381,263,130,16
"W05000410 : Haverfordwest: Garth",1136,456,379,226,74,1
"W05000953 : Haverfordwest: Portfield",1013,364,361,233,52,3
"W05000954 : Haverfordwest: Prendergast",935,371,336,182,43,3
"W05000413 : Haverfordwest: Priory",1119,535,352,193,31,8
"W05000414 : Hundleton",791,351,261,145,33,1
"W05000415 : Johnston",985,411,328,208,36,2
"W05000955 : Kilgetty/Begelly",955,312,355,237,42,9
"W05000417 : Lampeter Velfrey",634,292,202,124,16,0
"W05000418 : Lamphey",740,323,245,142,28,2
"W05000419 : Letterston",985,427,326,194,36,2
"W05000956 : Llangwm",961,473,319,145,24,0
"W05000421 : Llanrhian",648,287,203,130,26,2
"W05000422 : Maenclochog",1303,561,450,237,51,4
"W05000423 : Manorbier",876,367,309,159,38,3
"W05000957 : Martletwy",786,381,264,125,16,0
"W05000425 : Merlin's Bridge",888,349,285,195,54,5
"W05000426 : Milford: Central",1003,347,373,223,53,7
"W05000427 : Milford: East",931,310,313,241,60,7
"W05000428 : Milford: Hakin",1072,337,344,315,73,3
"W05000429 : Milford: Hubberston",986,339,325,245,74,3
"W05000430 : Milford: North",1163,460,359,262,81,1
"W05000431 : Milford: West",989,306,293,274,109,7
"W05000432 : Narberth",908,345,304,192,59,8
"W05000433 : Narberth Rural",620,317,184,100,19,0
"W05000434 : Newport",583,236,200,120,24,3
"W05000435 : Neyland: East",1023,401,330,221,64,7
"W05000436 : Neyland: West",897,328,315,199,54,1
"W05000437 : Pembroke Dock: Central",786,234,252,211,79,10
"W05000438 : Pembroke Dock: Llanion",1223,327,441,326,115,14
"W05000439 : Pembroke Dock: Market",827,309,279,183,53,3
"W05000440 : Pembroke Dock: Pennar",1335,499,444,305,81,6
"W05000441 : Pembroke: Monkton",707,163,237,210,86,11
"W05000442 : Pembroke: St. Mary North",848,272,277,230,63,6
"W05000443 : Pembroke: St. Mary South",700,235,240,167,51,7
"W05000444 : Pembroke: St. Michael",1090,467,399,190,32,2
"W05000445 : Penally",751,315,268,139,26,3
"W05000958 : Rudbaxton",338,146,109,67,15,1
"W05000447 : St. David's",851,368,299,146,37,1
"W05000448 : St. Dogmaels",1016,441,339,187,47,2
"W05000449 : St. Ishmael's",612,250,240,107,15,0
"W05000450 : Saundersfoot",1200,480,451,236,32,1
"W05000451 : Scleddau",615,272,201,113,28,1
"W05000452 : Solva",646,294,232,93,26,1
"W05000453 : Tenby: North",969,383,329,203,48,6
"W05000454 : Tenby: South",1284,430,471,307,68,8
"W05000455 : The Havens",637,332,193,95,15,2
"W05000456 : Wiston",774,380,256,121,17,0
"W05000457 : Abergwili",946,455,297,169,25,0
"W05000458 : Ammanford",1246,365,376,393,107,5
"W05000459 : Betws",896,375,294,189,37,1
"W05000460 : Bigyn",2827,986,897,711,220,13
"W05000461 : Burry Port",1974,626,650,546,145,7
"W05000462 : Bynea",1705,769,456,381,94,5
"W05000463 : Carmarthen Town North",2267,892,754,477,136,8
"W05000464 : Carmarthen Town South",1882,681,637,450,103,11
"W05000465 : Carmarthen Town West",2006,892,652,364,87,11
"W05000466 : Cenarth",960,353,322,234,50,1
"W05000467 : Cilycwm",630,236,242,127,24,1
"W05000468 : Cynwyl Elfed",1215,527,425,218,41,4
"W05000469 : Cynwyl Gaeo",716,270,268,141,34,3
"W05000470 : Dafen",1493,520,463,402,100,8
"W05000471 : Elli",1430,522,455,369,79,5
"W05000472 : Felinfoel",827,255,268,217,84,3
"W05000473 : Garnant",906,290,287,252,75,2
"W05000474 : Glanamman",1047,339,330,318,57,3
"W05000475 : Glanymor",2623,749,797,761,305,11
"W05000476 : Glyn",921,340,282,247,50,2
"W05000477 : Gorslas",1735,669,546,436,81,3
"W05000478 : Hendy",1370,660,386,270,48,6
"W05000479 : Hengoed",1605,659,520,344,80,2
"W05000480 : Kidwelly",1507,489,484,425,99,10
"W05000481 : Laugharne Township",1225,487,386,280,68,4
"W05000482 : Llanboidy",831,342,288,165,32,4
"W05000483 : Llanddarog",848,358,293,167,28,2
"W05000484 : Llandeilo",1386,566,461,291,63,5
"W05000485 : Llandovery",1170,433,429,262,43,3
"W05000486 : Llandybie",1710,679,529,404,96,2
"W05000487 : Llanegwad",1012,490,301,177,39,5
"W05000488 : Llanfihangel Aberbythych",774,345,246,148,35,0
"W05000489 : Llanfihangel-ar-Arth",1213,462,410,272,64,5
"W05000490 : Llangadog",817,364,266,167,19,1
"W05000491 : Llangeler",1479,522,556,316,75,10
"W05000492 : Llangennech",2084,838,693,462,88,3
"W05000493 : Llangunnor",1063,426,368,208,57,4
"W05000494 : Llangyndeyrn",1345,482,417,343,99,4
"W05000495 : Llannon",2173,836,653,525,152,7
"W05000496 : Llansteffan",883,391,301,167,22,2
"W05000497 : Llanybydder",1193,429,420,261,77,6
"W05000498 : Lliedi",2371,827,780,585,170,9
"W05000499 : Llwynhendy",1911,541,580,563,211,16
"W05000500 : Manordeilo and Salem",921,378,341,180,21,1
"W05000501 : Pembrey",1807,669,589,422,119,8
"W05000502 : Penygroes",1208,499,338,292,78,1
"W05000503 : Pontamman",1202,450,405,260,86,1
"W05000504 : Pontyberem",1189,433,377,299,77,3
"W05000505 : Quarter Bach",1256,417,416,335,84,4
"W05000506 : St. Clears",1232,501,417,250,62,2
"W05000507 : St. Ishmael",1158,480,404,240,33,1
"W05000508 : Saron",1677,613,551,431,79,3
"W05000509 : Swiss Valley",1109,476,397,210,26,0
"W05000510 : Trelech",835,324,312,153,40,6
"W05000511 : Trimsaran",1068,327,311,317,107,6
"W05000512 : Tycroes",1039,442,321,237,38,1
"W05000513 : Tyisha",1928,474,645,554,230,25
"W05000514 : Whitland",978,419,298,206,50,5
"W05000515 : Bishopston",1463,745,492,194,30,2
"W05000516 : Bonymaen",2980,791,1008,840,318,23
"W05000517 : Castle",8271,2595,2743,2012,837,84
